ht,un,upn,wn,vn,at,gr,is,eg,ws,tt,ct,tw_pp,wt,tr_pt,ts,fep,tc,tf,te,we,ce,ep
Haor,Ajmiriganj,Ajmiriganj,6,Shorifnogor notun para,Urban ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Barind,Sapahar,Goala,6,Aladipur,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Baniachong,Baraiuri,1,Baraiuri,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Cloth/sack,No roof,No slab/floor (open pit),No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Sapahar,Goala,6,Aladipur,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Sapahar,Goala,6,Aladipur ,Rural ,Male,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Male,Other (please specify),Bengali,Poor ,Pour-flush toilet,I don't know,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",No slab/floor (open pit),Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Female,Other (please specify),Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Thatch/grass/reeds,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Never emptied,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakdhin jhaugara,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Flood Plains,Melandaha,Jhaugora ,6,Dakshin jhaugara,Rural ,Male,Other (please specify),Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jau,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,4,Monar para,Rural ,Male,Non-government Service ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin jhaugara,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,4,Monar para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Female,Other (please specify),Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,4,Monar para,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Flood Plains,Sarishabari,Pogoldigha,4,Monarpara,Rural ,Male,Agriculture ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1000,Manually with buckets
Flood Plains,Melandaha,Jhaugora ,6,Dakshin jhaugara,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,4,Monar para,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Non-smooth material,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Flood Plains,Sarishabari,Pogoldigha,4,Monar para,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Flood Plains,Sarishabari,Pogoldigha,4,Monarpara,Rural ,Male,Agriculture ,Bengali,Hard-core poor,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin jhaugara,Rural ,Male,Day labour ,Bengali,Hard-core poor,,,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Sarishabari,Pogoldigha,4,Monarpara,Rural ,Female,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,4,Monarpara,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Sarishabari,Pogoldigha,4,Monarpara,Rural ,Male,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Sarishabari,Pogoldigha,4,Monarpara,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),200,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,4,Monarpara,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Haor,Baniachong,Baraiuri,1,baroiuri bade,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Other (please specify)
Flood Plains,Melandaha,Jhaugora ,6,Dakshin jhaugara,Rural ,Male,Day labour ,Bengali,Hard-core poor,,,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhatti,Rural ,Male,Agriculture ,Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Mud blocks,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Barind,Niamatpur,Hazinagar,4,Belhotti,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Baniachong,Baraiuri,1,baroiuri,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Baniachong,Baraiuri,1,Baraiuri Bade,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,Walls exist but do not provide adequate privacy,Plastic sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,With a hand pump (or gulper device)
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Manually with buckets
Barind,Niamatpur,Hazinagar,4,Belhitti,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhatti,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Brick masonry,No roof,Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Haor,Baniachong,Baraiuri,1,Baroiuri,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Household members ,,Other (please specify)
